canonicalPrintingId,language,region,canonicalSetId,releaseYear,providers,cardType,promoStatus,gapReason,permissionState,credentialsRequired,identityState
pokemon|en|GLOBAL|set:5517c55511ba8028|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2012bw,2012,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:5517c55511ba8028|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2012bw,2012,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:5517c55511ba8028|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2012bw,2012,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:5517c55511ba8028|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2012bw,2012,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|2|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:2eeb5ebd1abfb70b|3|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2014xy,2014,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
